"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","A not subtyped","B (lineage not determined)"
"1","United Kingdom, England","Non-sentinel","2013-40",2013-09-30,7,7,0,0,0,3,4
"2","United Kingdom, England","Non-sentinel","2013-41",2013-10-07,4,4,0,0,2,1,1
"3","United Kingdom, England","Non-sentinel","2013-42",2013-10-14,4,4,0,1,1,2,0
"4","United Kingdom, England","Non-sentinel","2013-43",2013-10-21,4,4,0,0,0,4,0
"5","United Kingdom, England","Non-sentinel","2013-44",2013-10-28,8,8,0,1,3,4,0
"6","United Kingdom, England","Non-sentinel","2013-45",2013-11-04,16,16,0,3,10,2,1
"7","United Kingdom, England","Non-sentinel","2013-46",2013-11-11,11,11,0,2,1,3,5
"8","United Kingdom, England","Non-sentinel","2013-47",2013-11-18,9,9,0,0,0,4,5
"9","United Kingdom, England","Non-sentinel","2013-48",2013-11-25,18,18,0,2,0,6,10
"10","United Kingdom, England","Non-sentinel","2013-49",2013-12-02,10,10,0,3,1,5,1
"11","United Kingdom, England","Non-sentinel","2013-50",2013-12-09,18,18,0,1,2,15,0
"12","United Kingdom, England","Non-sentinel","2013-51",2013-12-16,24,24,0,1,3,13,7
"13","United Kingdom, England","Non-sentinel","2013-52",2013-12-23,23,23,0,2,4,15,2
"14","United Kingdom, England","Non-sentinel","2014-01",2013-12-30,59,59,0,11,3,44,1
"15","United Kingdom, England","Non-sentinel","2014-02",2014-01-06,55,55,0,9,1,41,4
"16","United Kingdom, England","Non-sentinel","2014-03",2014-01-13,79,79,0,13,4,59,3
"17","United Kingdom, England","Non-sentinel","2014-04",2014-01-20,71,71,0,18,3,44,6
"18","United Kingdom, England","Non-sentinel","2014-05",2014-01-27,110,110,0,16,12,82,0
"19","United Kingdom, England","Non-sentinel","2014-06",2014-02-03,152,152,0,33,8,107,4
"20","United Kingdom, England","Non-sentinel","2014-07",2014-02-10,153,153,0,32,6,111,4
"21","United Kingdom, England","Non-sentinel","2014-08",2014-02-17,161,161,0,39,4,113,5
"22","United Kingdom, England","Non-sentinel","2014-09",2014-02-24,215,215,0,24,9,176,6
"23","United Kingdom, England","Non-sentinel","2014-10",2014-03-03,170,170,0,32,12,126,0
"24","United Kingdom, England","Non-sentinel","2014-11",2014-03-10,194,194,0,26,4,159,5
"25","United Kingdom, England","Non-sentinel","2014-12",2014-03-17,144,144,0,20,3,119,2
"26","United Kingdom, England","Non-sentinel","2014-13",2014-03-24,119,119,0,16,2,93,8
"27","United Kingdom, England","Non-sentinel","2014-14",2014-03-31,102,102,0,17,7,78,0
"28","United Kingdom, England","Non-sentinel","2014-15",2014-04-07,94,94,0,10,2,77,5
"29","United Kingdom, England","Non-sentinel","2014-16",2014-04-14,37,37,0,2,2,30,3
"30","United Kingdom, England","Non-sentinel","2014-17",2014-04-21,62,62,0,5,1,42,14
"31","United Kingdom, England","Non-sentinel","2014-18",2014-04-28,56,56,0,9,4,31,12
"32","United Kingdom, England","Non-sentinel","2014-19",2014-05-05,30,30,0,0,0,27,3
"33","United Kingdom, England","Non-sentinel","2014-20",2014-05-12,25,25,0,0,2,17,6
"34","United Kingdom, England","Non-sentinel","2014-40",2014-09-29,5,5,0,0,0,3,2
"35","United Kingdom, England","Non-sentinel","2014-41",2014-10-06,3,3,0,0,1,1,1
"36","United Kingdom, England","Non-sentinel","2014-42",2014-10-13,8,8,0,0,2,4,2
"37","United Kingdom, England","Non-sentinel","2014-43",2014-10-20,7,7,0,0,0,5,2
"38","United Kingdom, England","Non-sentinel","2014-44",2014-10-27,12,12,0,0,1,6,5
"39","United Kingdom, England","Non-sentinel","2014-45",2014-11-03,9,9,0,0,2,6,1
"40","United Kingdom, England","Non-sentinel","2014-46",2014-11-10,14,14,0,0,5,6,3
"41","United Kingdom, England","Non-sentinel","2014-47",2014-11-17,9,9,0,0,0,6,3
"42","United Kingdom, England","Non-sentinel","2014-48",2014-11-24,14,14,0,0,4,9,1
"43","United Kingdom, England","Non-sentinel","2014-49",2014-12-01,31,31,0,0,2,28,1
"44","United Kingdom, England","Non-sentinel","2014-50",2014-12-08,27,27,0,0,3,24,0
"45","United Kingdom, England","Non-sentinel","2015-40",2015-09-28,14,14,0,0,3,5,6
"46","United Kingdom, England","Non-sentinel","2015-41",2015-10-05,31,31,0,6,2,21,2
"47","United Kingdom, England","Non-sentinel","2015-42",2015-10-12,18,18,0,7,0,6,5
"48","United Kingdom, England","Non-sentinel","2015-43",2015-10-19,15,15,0,5,1,5,4
"49","United Kingdom, England","Non-sentinel","2015-44",2015-10-26,21,21,0,0,1,12,8
"50","United Kingdom, England","Non-sentinel","2015-45",2015-11-02,20,20,0,1,0,16,3
"51","United Kingdom, England","Non-sentinel","2015-46",2015-11-09,22,22,0,2,2,8,10
"52","United Kingdom, England","Non-sentinel","2015-47",2015-11-16,20,20,0,2,1,12,5
"53","United Kingdom, England","Non-sentinel","2015-48",2015-11-23,22,22,0,3,0,10,9
"54","United Kingdom, England","Non-sentinel","2015-49",2015-11-30,37,37,0,1,0,23,13
"55","United Kingdom, England","Non-sentinel","2015-50",2015-12-07,34,34,0,9,0,16,9
"56","United Kingdom, England","Non-sentinel","2015-51",2015-12-14,85,85,0,17,1,59,8
"57","United Kingdom, England","Non-sentinel","2015-52",2015-12-21,98,98,0,17,0,71,10
"58","United Kingdom, England","Non-sentinel","2015-53",2015-12-28,117,117,0,11,0,92,14
"59","United Kingdom, England","Non-sentinel","2016-01",2016-01-04,217,217,0,69,3,135,10
"60","United Kingdom, England","Non-sentinel","2016-02",2016-01-11,184,184,0,32,2,128,22
"61","United Kingdom, England","Non-sentinel","2016-03",2016-01-18,231,231,0,47,1,163,20
"62","United Kingdom, England","Non-sentinel","2016-04",2016-01-25,425,425,0,65,0,333,27
"63","United Kingdom, England","Non-sentinel","2016-05",2016-02-01,484,484,0,69,1,370,44
"64","United Kingdom, England","Non-sentinel","2016-06",2016-02-08,472,472,0,79,0,349,44
"65","United Kingdom, England","Non-sentinel","2016-07",2016-02-15,543,543,0,58,1,433,51
"66","United Kingdom, England","Non-sentinel","2016-08",2016-02-22,544,544,0,46,0,425,73
"67","United Kingdom, England","Non-sentinel","2016-09",2016-02-29,613,613,0,28,0,472,113
"68","United Kingdom, England","Non-sentinel","2016-10",2016-03-07,659,659,0,26,1,449,183
"69","United Kingdom, England","Non-sentinel","2016-11",2016-03-14,899,899,0,23,0,595,281
"70","United Kingdom, England","Non-sentinel","2016-12",2016-03-21,729,729,0,11,1,404,313
"71","United Kingdom, England","Non-sentinel","2016-13",2016-03-28,688,688,0,16,0,342,330
"72","United Kingdom, England","Non-sentinel","2016-14",2016-04-04,491,491,0,11,0,188,292
"73","United Kingdom, England","Non-sentinel","2016-15",2016-04-11,415,415,0,8,0,156,251
"74","United Kingdom, England","Non-sentinel","2016-16",2016-04-18,222,222,0,1,1,51,169
"75","United Kingdom, England","Non-sentinel","2016-17",2016-04-25,187,187,0,1,2,61,123
"76","United Kingdom, England","Non-sentinel","2016-18",2016-05-02,157,157,0,1,0,52,104
"77","United Kingdom, England","Non-sentinel","2016-19",2016-05-09,110,110,0,0,1,37,72
"78","United Kingdom, England","Non-sentinel","2016-20",2016-05-16,63,63,0,0,0,20,43
"79","United Kingdom, England","Non-sentinel","2016-21",2016-05-23,30,30,0,0,0,5,25
"80","United Kingdom, England","Non-sentinel","2016-22",2016-05-30,23,23,0,0,0,12,11
"81","United Kingdom, England","Non-sentinel","2016-40",2016-10-03,14,14,0,1,1,8,4
"82","United Kingdom, England","Non-sentinel","2016-41",2016-10-10,10,10,0,0,1,7,2
"83","United Kingdom, England","Non-sentinel","2016-42",2016-10-17,14,14,0,0,0,10,4
"84","United Kingdom, England","Non-sentinel","2016-43",2016-10-24,9,9,0,0,3,5,1
"85","United Kingdom, England","Non-sentinel","2016-44",2016-10-31,21,21,0,0,4,13,4
"86","United Kingdom, England","Non-sentinel","2016-45",2016-11-07,20,20,0,0,1,17,2
"87","United Kingdom, England","Non-sentinel","2016-46",2016-11-14,46,46,0,0,2,41,3
"88","United Kingdom, England","Non-sentinel","2016-47",2016-11-21,23,23,0,0,1,22,0
"89","United Kingdom, England","Non-sentinel","2016-48",2016-11-28,61,61,0,0,7,52,2
"90","United Kingdom, England","Non-sentinel","2016-49",2016-12-05,135,135,0,0,7,121,7
"91","United Kingdom, England","Non-sentinel","2016-50",2016-12-12,204,204,0,0,12,186,6
"92","United Kingdom, England","Non-sentinel","2016-51",2016-12-19,374,374,0,1,17,348,8
"93","United Kingdom, England","Non-sentinel","2016-52",2016-12-26,416,416,0,0,11,396,9
"94","United Kingdom, England","Non-sentinel","2017-01",2017-01-02,646,646,0,0,13,625,8
"95","United Kingdom, England","Non-sentinel","2017-02",2017-01-09,897,897,0,0,5,865,27
"96","United Kingdom, England","Non-sentinel","2017-03",2017-01-16,681,681,0,0,13,657,11
"97","United Kingdom, England","Non-sentinel","2017-04",2017-01-23,794,794,0,0,8,764,22
"98","United Kingdom, England","Non-sentinel","2017-05",2017-01-30,824,824,0,1,12,773,38
"99","United Kingdom, England","Non-sentinel","2017-06",2017-02-06,579,579,0,1,9,547,22
"100","United Kingdom, England","Non-sentinel","2017-07",2017-02-13,379,379,0,0,7,348,24
"101","United Kingdom, England","Non-sentinel","2017-08",2017-02-20,445,445,0,0,11,407,27
"102","United Kingdom, England","Non-sentinel","2017-09",2017-02-27,321,321,0,0,2,293,26
"103","United Kingdom, England","Non-sentinel","2017-10",2017-03-06,162,162,0,1,13,123,25
"104","United Kingdom, England","Non-sentinel","2017-11",2017-03-13,95,95,0,0,7,73,15
"105","United Kingdom, England","Non-sentinel","2017-12",2017-03-20,78,78,0,0,2,58,18
"106","United Kingdom, England","Non-sentinel","2017-13",2017-03-27,68,68,0,0,1,33,34
"107","United Kingdom, England","Non-sentinel","2017-14",2017-04-03,64,64,0,0,2,36,26
"108","United Kingdom, England","Non-sentinel","2017-15",2017-04-10,38,38,0,1,0,17,20
"109","United Kingdom, England","Non-sentinel","2017-16",2017-04-17,41,41,0,0,1,15,25
"110","United Kingdom, England","Non-sentinel","2017-17",2017-04-24,49,49,0,0,1,17,31
"111","United Kingdom, England","Non-sentinel","2017-18",2017-05-01,36,36,0,0,0,6,30
"112","United Kingdom, England","Non-sentinel","2017-19",2017-05-08,36,36,0,0,0,11,25
"113","United Kingdom, England","Non-sentinel","2017-20",2017-05-15,49,49,0,0,0,16,33
"114","United Kingdom, England","Non-sentinel","2017-40",2017-10-02,34,34,0,2,1,22,9
"115","United Kingdom, England","Non-sentinel","2017-41",2017-10-09,36,36,0,1,2,21,12
"116","United Kingdom, England","Non-sentinel","2017-42",2017-10-16,21,21,0,0,1,14,6
"117","United Kingdom, England","Non-sentinel","2017-43",2017-10-23,23,23,0,0,1,17,5
"118","United Kingdom, England","Non-sentinel","2017-44",2017-10-30,26,26,0,0,2,18,6
"119","United Kingdom, England","Non-sentinel","2017-45",2017-11-06,29,29,0,0,3,18,8
"120","United Kingdom, England","Non-sentinel","2017-46",2017-11-13,51,51,0,2,9,25,15
"121","United Kingdom, England","Non-sentinel","2017-47",2017-11-20,78,78,0,3,1,46,28
"122","United Kingdom, England","Non-sentinel","2017-48",2017-11-27,73,73,0,5,5,44,19
"123","United Kingdom, England","Non-sentinel","2017-49",2017-12-04,166,166,0,12,5,90,59
"124","United Kingdom, England","Non-sentinel","2017-50",2017-12-11,296,296,0,13,7,139,137
"125","United Kingdom, England","Non-sentinel","2017-51",2017-12-18,765,765,0,17,10,338,400
"126","United Kingdom, England","Non-sentinel","2017-52",2017-12-25,1075,1075,0,3,4,425,643
"127","United Kingdom, England","Non-sentinel","2018-01",2018-01-01,1967,1967,0,11,6,829,1121
"128","United Kingdom, England","Non-sentinel","2018-02",2018-01-08,2289,2289,0,11,3,902,1373
"129","United Kingdom, England","Non-sentinel","2018-03",2018-01-15,2321,2321,0,26,20,858,1417
"130","United Kingdom, England","Non-sentinel","2018-04",2018-01-22,2404,2404,0,11,16,961,1416
"131","United Kingdom, England","Non-sentinel","2018-05",2018-01-29,2150,2150,0,21,6,935,1188
"132","United Kingdom, England","Non-sentinel","2018-06",2018-02-05,1776,1776,0,5,3,778,990
"133","United Kingdom, England","Non-sentinel","2018-07",2018-02-12,1895,1895,0,2,6,905,982
"134","United Kingdom, England","Non-sentinel","2018-08",2018-02-19,2488,2488,0,11,21,1287,1169
"135","United Kingdom, England","Non-sentinel","2018-09",2018-02-26,1662,1662,0,6,10,879,767
"136","United Kingdom, England","Non-sentinel","2018-10",2018-03-05,2026,2026,0,6,2,1159,859
"137","United Kingdom, England","Non-sentinel","2018-11",2018-03-12,1664,1664,0,5,8,1000,651
"138","United Kingdom, England","Non-sentinel","2018-12",2018-03-19,1312,1312,0,4,6,911,391
"139","United Kingdom, England","Non-sentinel","2018-13",2018-03-26,994,994,0,2,8,712,272
"140","United Kingdom, England","Non-sentinel","2018-14",2018-04-02,843,843,0,2,6,647,188
"141","United Kingdom, England","Non-sentinel","2018-15",2018-04-09,590,590,0,5,8,457,120
"142","United Kingdom, England","Non-sentinel","2018-16",2018-04-16,282,282,0,1,1,216,64
"143","United Kingdom, England","Non-sentinel","2018-17",2018-04-23,117,117,0,1,2,80,34
"144","United Kingdom, England","Non-sentinel","2018-18",2018-04-30,68,68,0,0,0,58,10
"145","United Kingdom, England","Non-sentinel","2018-19",2018-05-07,61,61,0,0,0,43,18
"146","United Kingdom, England","Non-sentinel","2018-20",2018-05-14,44,44,0,0,0,33,11
"147","United Kingdom, England","Non-sentinel","2018-40",2018-10-01,17,17,0,0,0,11,6
"148","United Kingdom, England","Non-sentinel","2018-41",2018-10-08,18,18,0,0,0,18,0
"149","United Kingdom, England","Non-sentinel","2018-42",2018-10-15,23,23,0,2,0,15,6
"150","United Kingdom, England","Non-sentinel","2018-43",2018-10-22,38,38,0,0,1,29,8
"151","United Kingdom, England","Non-sentinel","2018-44",2018-10-29,46,46,0,5,0,34,7
"152","United Kingdom, England","Non-sentinel","2018-45",2018-11-05,85,85,0,9,1,65,10
"153","United Kingdom, England","Non-sentinel","2018-46",2018-11-12,93,93,0,6,0,79,8
"154","United Kingdom, England","Non-sentinel","2018-47",2018-11-19,110,110,0,17,0,81,12
"155","United Kingdom, England","Non-sentinel","2018-48",2018-11-26,160,160,0,7,2,141,10
"156","United Kingdom, England","Non-sentinel","2018-49",2018-12-03,211,211,0,29,2,172,8
"157","United Kingdom, England","Non-sentinel","2018-50",2018-12-10,281,281,0,23,0,243,15
"158","United Kingdom, England","Non-sentinel","2018-51",2018-12-17,569,569,0,48,0,503,18
"159","United Kingdom, England","Non-sentinel","2018-52",2018-12-24,733,733,0,24,0,697,12
"160","United Kingdom, England","Non-sentinel","2019-01",2018-12-31,1309,1309,0,38,2,1251,18
"161","United Kingdom, England","Non-sentinel","2019-02",2019-01-07,1870,1870,0,74,3,1757,36
"162","United Kingdom, England","Non-sentinel","2019-03",2019-01-14,1819,1819,0,72,6,1713,28
"163","United Kingdom, England","Non-sentinel","2019-04",2019-01-21,2133,2133,0,65,7,2033,28
"164","United Kingdom, England","Non-sentinel","2019-05",2019-01-28,2407,2407,0,38,9,2322,38
"165","United Kingdom, England","Non-sentinel","2019-06",2019-02-04,2688,2688,0,39,20,2611,18
"166","United Kingdom, England","Non-sentinel","2019-07",2019-02-11,2871,2871,0,48,22,2766,35
"167","United Kingdom, England","Non-sentinel","2019-08",2019-02-18,2033,2033,0,21,10,1980,22
"168","United Kingdom, England","Non-sentinel","2019-09",2019-02-25,1317,1317,0,10,13,1274,20
"169","United Kingdom, England","Non-sentinel","2019-10",2019-03-04,897,897,0,9,9,865,14
"170","United Kingdom, England","Non-sentinel","2019-11",2019-03-11,673,673,0,7,5,651,10
"171","United Kingdom, England","Non-sentinel","2019-12",2019-03-18,697,697,0,5,8,674,10
"172","United Kingdom, England","Non-sentinel","2019-13",2019-03-25,504,504,0,1,9,478,16
"173","United Kingdom, England","Non-sentinel","2019-14",2019-04-01,430,430,0,0,15,399,16
"174","United Kingdom, England","Non-sentinel","2019-15",2019-04-08,428,428,0,0,10,407,11
"175","United Kingdom, England","Non-sentinel","2019-16",2019-04-15,320,320,0,1,1,310,8
"176","United Kingdom, England","Non-sentinel","2019-17",2019-04-22,334,334,0,0,2,319,13
"177","United Kingdom, England","Non-sentinel","2019-18",2019-04-29,195,195,0,1,3,178,13
"178","United Kingdom, England","Non-sentinel","2019-19",2019-05-06,92,92,0,0,1,85,6
"179","United Kingdom, England","Non-sentinel","2019-20",2019-05-13,86,86,0,0,2,73,11
"180","United Kingdom, England","Non-sentinel","2019-40",2019-09-30,88,88,0,1,13,55,19
"181","United Kingdom, England","Non-sentinel","2019-41",2019-10-07,114,114,0,2,3,84,25
"182","United Kingdom, England","Non-sentinel","2019-42",2019-10-14,112,112,0,2,9,75,26
"183","United Kingdom, England","Non-sentinel","2019-43",2019-10-21,186,186,0,1,12,148,25
"184","United Kingdom, England","Non-sentinel","2019-44",2019-10-28,249,249,0,1,16,204,28
"185","United Kingdom, England","Non-sentinel","2019-45",2019-11-04,198,198,0,2,11,172,13
"186","United Kingdom, England","Non-sentinel","2019-46",2019-11-11,249,249,0,0,9,223,17
"187","United Kingdom, England","Non-sentinel","2019-47",2019-11-18,554,554,0,0,26,501,27
"188","United Kingdom, England","Non-sentinel","2019-48",2019-11-25,1150,1150,0,1,28,1079,42
"189","United Kingdom, England","Non-sentinel","2020-01",2019-12-30,2559,2559,0,7,44,2397,111
"190","United Kingdom, England","Non-sentinel","2020-02",2020-01-06,1678,1678,0,7,43,1503,125
"191","United Kingdom, England","Non-sentinel","2020-03",2020-01-13,930,930,0,12,13,789,116
"192","United Kingdom, England","Non-sentinel","2020-04",2020-01-20,587,587,0,7,27,463,90
"193","United Kingdom, England","Non-sentinel","2020-05",2020-01-27,599,599,0,10,11,442,136
"194","United Kingdom, England","Non-sentinel","2020-06",2020-02-03,502,502,0,7,4,369,122
"195","United Kingdom, England","Non-sentinel","2020-07",2020-02-10,521,521,0,8,2,371,140
"196","United Kingdom, England","Non-sentinel","2020-08",2020-02-17,527,527,0,3,13,343,168
"197","United Kingdom, England","Non-sentinel","2020-09",2020-02-24,537,537,0,10,1,343,183
"198","United Kingdom, England","Non-sentinel","2020-10",2020-03-02,520,520,0,2,1,293,224
"199","United Kingdom, England","Non-sentinel","2020-11",2020-03-09,373,373,0,7,8,228,130
"200","United Kingdom, England","Non-sentinel","2020-12",2020-03-16,395,395,0,2,0,236,157
"201","United Kingdom, England","Non-sentinel","2020-13",2020-03-23,155,155,0,1,2,76,76
"202","United Kingdom, England","Non-sentinel","2020-14",2020-03-30,73,73,0,1,0,46,26
"203","United Kingdom, England","Non-sentinel","2020-15",2020-04-06,21,21,0,0,0,13,8
"204","United Kingdom, England","Non-sentinel","2020-16",2020-04-13,3,3,0,0,0,1,2
"205","United Kingdom, England","Non-sentinel","2020-17",2020-04-20,7,7,0,0,0,4,3
"206","United Kingdom, England","Non-sentinel","2020-18",2020-04-27,1,1,0,0,0,1,0
"207","United Kingdom, England","Non-sentinel","2020-19",2020-05-04,0,0,0,0,0,0,0
"208","United Kingdom, England","Non-sentinel","2020-20",2020-05-11,0,0,0,0,0,0,0
"209","United Kingdom, England","Non-sentinel","2020-40",2020-09-28,10,10,0,0,0,4,6
"210","United Kingdom, England","Non-sentinel","2020-41",2020-10-05,8,8,0,0,0,4,4
"211","United Kingdom, England","Non-sentinel","2020-42",2020-10-12,22,22,0,0,0,13,9
"212","United Kingdom, England","Non-sentinel","2020-43",2020-10-19,24,24,0,0,0,16,8
"213","United Kingdom, England","Non-sentinel","2020-44",2020-10-26,14,14,0,0,0,6,8
"214","United Kingdom, England","Non-sentinel","2020-45",2020-11-02,15,15,0,0,0,8,7
