Week_commencing,B,H1N1,H3,A,age_group
03/01/2022,NA,NA,NA,NA,<5
10/01/2022,NA,NA,NA,NA,<5
17/01/2022,NA,NA,NA,NA,<5
24/01/2022,NA,NA,1,NA,<5
31/01/2022,NA,NA,NA,NA,<5
07/02/2022,NA,NA,NA,NA,<5
14/02/2022,NA,NA,NA,NA,<5
21/02/2022,NA,NA,NA,NA,<5
28/02/2022,NA,NA,NA,NA,<5
07/03/2022,NA,NA,1,NA,<5
14/03/2022,NA,NA,NA,NA,<5
21/03/2022,NA,1,NA,NA,<5
28/03/2022,NA,1,NA,NA,<5
04/04/2022,NA,NA,3,NA,<5
11/04/2022,NA,NA,NA,NA,<5
18/04/2022,NA,NA,1,NA,<5
25/04/2022,NA,NA,NA,NA,<5
02/05/2022,NA,NA,1,NA,<5
09/05/2022,NA,NA,1,NA,<5
16/05/2022,NA,1,NA,NA,<5
23/05/2022,NA,NA,NA,NA,<5
30/05/2022,NA,NA,NA,NA,<5
06/06/2022,NA,NA,NA,NA,<5
13/06/2022,NA,NA,NA,NA,<5
20/06/2022,NA,NA,NA,NA,<5
27/06/2022,NA,NA,NA,NA,<5
04/07/2022,NA,NA,NA,NA,<5
11/07/2022,NA,NA,1,NA,<5
18/07/2022,NA,NA,NA,NA,<5
25/07/2022,NA,NA,NA,NA,<5
01/08/2022,NA,NA,NA,NA,<5
08/08/2022,NA,NA,NA,NA,<5
15/08/2022,NA,NA,NA,NA,<5
22/08/2022,NA,1,NA,NA,<5
29/08/2022,NA,NA,NA,NA,<5
05/09/2022,NA,NA,NA,NA,<5
12/09/2022,NA,NA,NA,NA,<5
19/09/2022,NA,NA,NA,NA,<5
26/09/2022,NA,NA,NA,NA,<5
03/10/2022,NA,NA,2,NA,<5
10/10/2022,NA,NA,1,NA,<5
17/10/2022,NA,1,1,NA,<5
24/10/2022,NA,2,2,NA,<5
31/10/2022,2,1,1,NA,<5
07/11/2022,NA,NA,4,NA,<5
14/11/2022,NA,3,4,1,<5
21/11/2022,NA,2,2,NA,<5
28/11/2022,NA,1,3,NA,<5
05/12/2022,4,7,17,3,<5
12/12/2022,1,4,18,2,<5
19/12/2022,1,15,27,10,<5
26/12/2022,1,5,13,2,<5
02/01/2023,NA,3,7,NA,<5
09/01/2023,1,NA,4,NA,<5
16/01/2023,1,NA,2,NA,<5
23/01/2023,NA,NA,2,NA,<5
30/01/2023,NA,NA,2,NA,<5
06/02/2023,NA,NA,NA,NA,<5
13/02/2023,NA,NA,NA,NA,<5
20/02/2023,1,NA,1,NA,<5
27/02/2023,2,NA,NA,NA,<5
06/03/2023,NA,NA,NA,NA,<5
13/03/2023,1,NA,NA,1,<5
20/03/2023,NA,NA,NA,NA,<5
27/03/2023,1,NA,NA,NA,<5
03/04/2023,1,NA,NA,NA,<5
10/04/2023,NA,NA,NA,NA,<5
17/04/2023,NA,NA,NA,NA,<5
24/04/2023,NA,NA,NA,NA,<5
01/05/2023,NA,NA,NA,NA,<5
08/05/2023,NA,NA,NA,NA,<5
15/05/2023,NA,NA,NA,NA,<5
22/05/2023,NA,NA,NA,NA,<5
29/05/2023,NA,NA,NA,NA,<5
05/06/2023,NA,NA,NA,NA,<5
12/06/2023,NA,NA,NA,NA,<5
19/06/2023,NA,NA,NA,NA,<5
26/06/2023,NA,NA,NA,NA,<5
03/07/2023,NA,NA,NA,NA,<5
10/07/2023,NA,NA,NA,NA,<5
17/07/2023,NA,NA,NA,NA,<5
24/07/2023,NA,NA,NA,NA,<5
31/07/2023,NA,NA,NA,NA,<5
07/08/2023,NA,NA,NA,NA,<5
14/08/2023,NA,NA,NA,NA,<5
21/08/2023,NA,NA,NA,NA,<5
28/08/2023,NA,NA,NA,NA,<5
04/09/2023,NA,NA,NA,NA,<5
11/09/2023,NA,NA,NA,NA,<5
18/09/2023,NA,NA,NA,NA,<5
25/09/2023,NA,NA,NA,NA,<5
02/10/2023,NA,NA,NA,NA,<5
09/10/2023,NA,NA,NA,NA,<5
16/10/2023,1,1,1,NA,<5
23/10/2023,NA,1,NA,NA,<5
30/10/2023,NA,NA,NA,NA,<5
06/11/2023,NA,NA,2,NA,<5
13/11/2023,NA,1,1,NA,<5
20/11/2023,NA,NA,1,NA,<5
27/11/2023,NA,1,3,NA,<5
04/12/2023,NA,2,3,NA,<5
11/12/2023,NA,3,3,NA,<5
18/12/2023,NA,12,7,NA,<5
25/12/2023,2,1,3,NA,<5
03/01/2022,NA,NA,NA,NA,19-64
10/01/2022,NA,NA,NA,NA,19-64
17/01/2022,NA,NA,NA,NA,19-64
24/01/2022,NA,NA,NA,NA,19-64
31/01/2022,NA,NA,1,NA,19-64
07/02/2022,NA,NA,NA,NA,19-64
14/02/2022,NA,NA,NA,NA,19-64
21/02/2022,NA,NA,NA,NA,19-64
28/02/2022,NA,NA,NA,NA,19-64
07/03/2022,NA,NA,1,NA,19-64
14/03/2022,NA,NA,3,NA,19-64
21/03/2022,NA,NA,1,NA,19-64
28/03/2022,NA,NA,1,NA,19-64
04/04/2022,NA,NA,NA,NA,19-64
11/04/2022,NA,NA,1,NA,19-64
18/04/2022,NA,NA,2,NA,19-64
25/04/2022,NA,NA,NA,1,19-64
02/05/2022,NA,NA,NA,NA,19-64
09/05/2022,NA,NA,1,NA,19-64
16/05/2022,NA,NA,NA,NA,19-64
23/05/2022,NA,NA,NA,NA,19-64
30/05/2022,NA,NA,NA,NA,19-64
06/06/2022,NA,NA,NA,NA,19-64
13/06/2022,NA,NA,NA,NA,19-64
20/06/2022,NA,NA,NA,NA,19-64
27/06/2022,NA,NA,1,NA,19-64
04/07/2022,NA,NA,NA,NA,19-64
11/07/2022,NA,NA,NA,NA,19-64
18/07/2022,NA,NA,NA,NA,19-64
25/07/2022,NA,NA,NA,NA,19-64
01/08/2022,NA,NA,NA,NA,19-64
08/08/2022,NA,NA,NA,NA,19-64
15/08/2022,NA,NA,NA,NA,19-64
22/08/2022,NA,NA,NA,NA,19-64
29/08/2022,NA,NA,NA,NA,19-64
05/09/2022,NA,NA,1,NA,19-64
12/09/2022,NA,NA,NA,NA,19-64
19/09/2022,NA,NA,NA,NA,19-64
26/09/2022,NA,NA,NA,1,19-64
03/10/2022,1,NA,5,NA,19-64
10/10/2022,NA,NA,2,NA,19-64
17/10/2022,NA,1,8,NA,19-64
24/10/2022,1,4,8,NA,19-64
31/10/2022,NA,4,9,NA,19-64
07/11/2022,NA,NA,2,NA,19-64
14/11/2022,1,2,7,1,19-64
21/11/2022,1,3,9,NA,19-64
28/11/2022,1,9,14,2,19-64
05/12/2022,3,11,35,11,19-64
12/12/2022,1,17,56,5,19-64
19/12/2022,1,14,97,22,19-64
26/12/2022,7,13,27,2,19-64
02/01/2023,4,2,6,NA,19-64
09/01/2023,3,NA,2,1,19-64
16/01/2023,3,NA,2,NA,19-64
23/01/2023,NA,NA,2,NA,19-64
30/01/2023,2,NA,2,NA,19-64
06/02/2023,7,NA,NA,NA,19-64
13/02/2023,1,NA,NA,NA,19-64
20/02/2023,1,1,NA,NA,19-64
27/02/2023,1,NA,NA,NA,19-64
06/03/2023,3,NA,1,NA,19-64
13/03/2023,1,NA,NA,NA,19-64
20/03/2023,4,NA,NA,NA,19-64
27/03/2023,2,NA,NA,NA,19-64
03/04/2023,4,NA,NA,NA,19-64
10/04/2023,NA,NA,NA,NA,19-64
17/04/2023,NA,NA,NA,NA,19-64
24/04/2023,2,NA,NA,NA,19-64
01/05/2023,NA,NA,NA,NA,19-64
08/05/2023,2,NA,NA,NA,19-64
15/05/2023,NA,NA,NA,NA,19-64
22/05/2023,NA,NA,NA,NA,19-64
29/05/2023,NA,NA,NA,NA,19-64
05/06/2023,NA,NA,NA,NA,19-64
12/06/2023,NA,NA,NA,NA,19-64
19/06/2023,NA,NA,NA,NA,19-64
26/06/2023,NA,1,1,NA,19-64
03/07/2023,NA,NA,NA,NA,19-64
10/07/2023,NA,NA,NA,NA,19-64
17/07/2023,NA,NA,NA,NA,19-64
24/07/2023,NA,NA,NA,NA,19-64
31/07/2023,NA,NA,NA,NA,19-64
07/08/2023,NA,NA,NA,NA,19-64
14/08/2023,NA,NA,NA,NA,19-64
21/08/2023,NA,NA,NA,NA,19-64
28/08/2023,NA,NA,NA,NA,19-64
04/09/2023,NA,NA,NA,NA,19-64
11/09/2023,NA,NA,NA,NA,19-64
18/09/2023,NA,NA,NA,NA,19-64
25/09/2023,NA,NA,1,NA,19-64
02/10/2023,NA,NA,NA,NA,19-64
09/10/2023,2,1,1,NA,19-64
16/10/2023,NA,1,1,NA,19-64
23/10/2023,NA,1,1,NA,19-64
30/10/2023,NA,NA,NA,NA,19-64
06/11/2023,NA,NA,NA,NA,19-64
13/11/2023,1,2,1,NA,19-64
20/11/2023,NA,NA,NA,NA,19-64
27/11/2023,NA,1,1,NA,19-64
04/12/2023,1,3,3,NA,19-64
11/12/2023,1,2,4,NA,19-64
18/12/2023,1,11,9,NA,19-64
25/12/2023,NA,2,4,NA,19-64
03/01/2022,NA,NA,NA,NA,5-18
10/01/2022,NA,NA,NA,NA,5-18
17/01/2022,NA,NA,NA,NA,5-18
24/01/2022,NA,NA,NA,NA,5-18
31/01/2022,NA,NA,NA,NA,5-18
07/02/2022,NA,NA,NA,NA,5-18
14/02/2022,NA,NA,NA,NA,5-18
21/02/2022,NA,NA,1,NA,5-18
28/02/2022,NA,NA,NA,NA,5-18
07/03/2022,NA,NA,2,NA,5-18
14/03/2022,NA,NA,1,NA,5-18
21/03/2022,NA,NA,5,NA,5-18
28/03/2022,1,NA,2,NA,5-18
04/04/2022,NA,NA,2,NA,5-18
11/04/2022,NA,NA,2,NA,5-18
18/04/2022,NA,NA,2,NA,5-18
25/04/2022,NA,NA,2,NA,5-18
02/05/2022,NA,NA,2,NA,5-18
09/05/2022,NA,NA,1,NA,5-18
16/05/2022,NA,NA,1,NA,5-18
23/05/2022,NA,NA,NA,NA,5-18
30/05/2022,NA,NA,NA,NA,5-18
06/06/2022,NA,NA,NA,NA,5-18
13/06/2022,NA,NA,1,NA,5-18
20/06/2022,NA,NA,2,NA,5-18
27/06/2022,NA,NA,2,NA,5-18
04/07/2022,NA,NA,NA,NA,5-18
11/07/2022,NA,NA,NA,NA,5-18
18/07/2022,NA,NA,NA,NA,5-18
25/07/2022,NA,NA,NA,NA,5-18
01/08/2022,NA,NA,1,NA,5-18
08/08/2022,NA,2,NA,NA,5-18
15/08/2022,NA,1,NA,NA,5-18
22/08/2022,NA,1,NA,NA,5-18
29/08/2022,NA,NA,1,NA,5-18
05/09/2022,NA,NA,NA,NA,5-18
12/09/2022,NA,1,2,NA,5-18
19/09/2022,NA,NA,NA,NA,5-18
26/09/2022,NA,NA,NA,NA,5-18
03/10/2022,NA,4,7,NA,5-18
10/10/2022,1,5,4,NA,5-18
17/10/2022,NA,3,4,NA,5-18
24/10/2022,NA,4,6,NA,5-18
31/10/2022,NA,3,8,NA,5-18
07/11/2022,NA,4,6,NA,5-18
14/11/2022,NA,6,13,2,5-18
21/11/2022,NA,7,5,1,5-18
28/11/2022,1,9,14,3,5-18
05/12/2022,NA,9,21,2,5-18
12/12/2022,1,19,43,2,5-18
19/12/2022,1,42,101,20,5-18
26/12/2022,1,25,51,13,5-18
02/01/2023,4,15,46,4,5-18
09/01/2023,6,3,16,2,5-18
16/01/2023,3,2,4,2,5-18
23/01/2023,4,2,5,2,5-18
30/01/2023,1,1,1,NA,5-18
06/02/2023,6,1,4,1,5-18
13/02/2023,6,2,NA,NA,5-18
20/02/2023,6,NA,1,NA,5-18
27/02/2023,10,NA,NA,NA,5-18
06/03/2023,10,2,NA,NA,5-18
13/03/2023,10,2,NA,NA,5-18
20/03/2023,6,NA,NA,NA,5-18
27/03/2023,8,NA,NA,NA,5-18
03/04/2023,7,NA,NA,NA,5-18
10/04/2023,4,1,NA,NA,5-18
17/04/2023,6,1,NA,NA,5-18
24/04/2023,1,NA,NA,NA,5-18
01/05/2023,1,NA,NA,NA,5-18
08/05/2023,NA,NA,2,NA,5-18
15/05/2023,NA,2,1,NA,5-18
22/05/2023,NA,1,NA,NA,5-18
29/05/2023,NA,NA,NA,NA,5-18
05/06/2023,NA,NA,NA,NA,5-18
12/06/2023,NA,1,1,NA,5-18
19/06/2023,1,1,NA,NA,5-18
26/06/2023,NA,NA,NA,NA,5-18
03/07/2023,NA,NA,NA,NA,5-18
10/07/2023,NA,NA,NA,NA,5-18
17/07/2023,NA,NA,NA,NA,5-18
24/07/2023,NA,1,1,NA,5-18
31/07/2023,1,NA,NA,NA,5-18
07/08/2023,NA,NA,NA,NA,5-18
14/08/2023,NA,NA,2,NA,5-18
21/08/2023,NA,NA,1,,5-18
28/08/2023,1,NA,1,,5-18
04/09/2023,NA,NA,NA,,5-18
11/09/2023,1,NA,NA,,5-18
18/09/2023,NA,NA,1,,5-18
25/09/2023,NA,NA,NA,,5-18
02/10/2023,NA,2,NA,,5-18
09/10/2023,NA,NA,4,,5-18
16/10/2023,NA,1,5,,5-18
23/10/2023,NA,1,3,,5-18
30/10/2023,NA,1,4,,5-18
06/11/2023,1,5,3,,5-18
13/11/2023,1,2,4,,5-18
20/11/2023,NA,1,6,,5-18
27/11/2023,1,9,7,,5-18
04/12/2023,2,8,9,,5-18
11/12/2023,1,14,19,,5-18
18/12/2023,2,30,42,,5-18
25/12/2023,1,19,25,,5-18
10/01/2022,NA,NA,NA,NA,65+
17/01/2022,NA,NA,NA,NA,65+
24/01/2022,NA,NA,NA,NA,65+
31/01/2022,NA,NA,NA,NA,65+
07/02/2022,NA,NA,NA,NA,65+
14/02/2022,NA,NA,NA,NA,65+
21/02/2022,NA,NA,NA,NA,65+
28/02/2022,NA,NA,NA,NA,65+
07/03/2022,NA,NA,NA,NA,65+
14/03/2022,NA,NA,NA,NA,65+
21/03/2022,NA,NA,1,NA,65+
28/03/2022,NA,NA,NA,NA,65+
04/04/2022,NA,NA,NA,NA,65+
11/04/2022,NA,NA,1,NA,65+
18/04/2022,NA,NA,NA,NA,65+
25/04/2022,NA,NA,NA,NA,65+
02/05/2022,NA,NA,1,NA,65+
09/05/2022,NA,NA,NA,NA,65+
16/05/2022,NA,NA,NA,NA,65+
23/05/2022,NA,NA,NA,NA,65+
30/05/2022,NA,NA,NA,NA,65+
06/06/2022,NA,NA,NA,NA,65+
13/06/2022,NA,NA,NA,NA,65+
20/06/2022,NA,NA,NA,NA,65+
27/06/2022,NA,NA,NA,NA,65+
04/07/2022,NA,NA,NA,NA,65+
11/07/2022,NA,NA,NA,NA,65+
18/07/2022,NA,NA,NA,NA,65+
25/07/2022,NA,NA,NA,NA,65+
01/08/2022,NA,NA,NA,NA,65+
08/08/2022,NA,NA,NA,NA,65+
15/08/2022,NA,NA,NA,NA,65+
22/08/2022,NA,NA,NA,NA,65+
29/08/2022,NA,1,NA,NA,65+
05/09/2022,NA,1,NA,NA,65+
12/09/2022,NA,1,NA,NA,65+
19/09/2022,NA,NA,1,NA,65+
26/09/2022,NA,NA,NA,NA,65+
03/10/2022,NA,1,NA,NA,65+
10/10/2022,NA,1,NA,NA,65+
17/10/2022,NA,3,NA,NA,65+
24/10/2022,NA,1,NA,NA,65+
31/10/2022,NA,1,2,NA,65+
07/11/2022,NA,NA,NA,NA,65+
14/11/2022,NA,2,1,NA,65+
21/11/2022,NA,NA,1,NA,65+
28/11/2022,NA,NA,1,1,65+
05/12/2022,NA,2,2,NA,65+
12/12/2022,NA,2,3,1,65+
19/12/2022,NA,2,18,1,65+
26/12/2022,NA,8,14,3,65+
02/01/2023,1,8,20,NA,65+
09/01/2023,NA,NA,4,NA,65+
16/01/2023,NA,NA,1,2,65+
23/01/2023,1,NA,1,NA,65+
30/01/2023,NA,NA,NA,NA,65+
06/02/2023,NA,NA,2,NA,65+
13/02/2023,NA,NA,NA,NA,65+
20/02/2023,NA,NA,NA,NA,65+
27/02/2023,NA,NA,NA,NA,65+
06/03/2023,NA,NA,NA,NA,65+
13/03/2023,NA,1,1,NA,65+
20/03/2023,NA,NA,NA,NA,65+
27/03/2023,NA,NA,NA,NA,65+
03/04/2023,NA,NA,NA,NA,65+
10/04/2023,NA,NA,NA,NA,65+
17/04/2023,NA,NA,NA,NA,65+
24/04/2023,NA,1,NA,NA,65+
01/05/2023,NA,1,NA,NA,65+
08/05/2023,NA,1,NA,NA,65+
15/05/2023,1,NA,NA,NA,65+
22/05/2023,NA,NA,NA,NA,65+
29/05/2023,NA,NA,NA,NA,65+
05/06/2023,NA,NA,NA,NA,65+
12/06/2023,NA,NA,NA,NA,65+
19/06/2023,NA,NA,NA,NA,65+
26/06/2023,NA,NA,NA,NA,65+
03/07/2023,NA,NA,NA,NA,65+
10/07/2023,NA,NA,NA,NA,65+
17/07/2023,NA,NA,NA,NA,65+
24/07/2023,NA,NA,NA,NA,65+
31/07/2023,NA,NA,NA,NA,65+
07/08/2023,NA,NA,NA,NA,65+
14/08/2023,NA,NA,NA,NA,65+
21/08/2023,NA,NA,NA,NA,65+
28/08/2023,NA,NA,NA,NA,65+
04/09/2023,NA,NA,NA,NA,65+
11/09/2023,NA,NA,NA,NA,65+
18/09/2023,NA,NA,NA,NA,65+
25/09/2023,NA,NA,NA,NA,65+
02/10/2023,NA,NA,NA,NA,65+
09/10/2023,NA,NA,NA,NA,65+
16/10/2023,NA,NA,NA,NA,65+
23/10/2023,NA,NA,NA,NA,65+
30/10/2023,NA,NA,NA,NA,65+
06/11/2023,NA,NA,1,NA,65+
13/11/2023,NA,NA,NA,NA,65+
20/11/2023,NA,1,NA,NA,65+
27/11/2023,NA,NA,NA,NA,65+
04/12/2023,NA,NA,2,NA,65+
11/12/2023,NA,NA,3,NA,65+
18/12/2023,NA,4,6,NA,65+
25/12/2023,1,6,2,NA,65+