Date,Week number,Up to 5 years,5 to 14 years,15 to 44 years,45 to 64 years,65 to 79 years,80 years and above
01-Jul-24,27,0.5,0,1.8,0.5,0.6,0.3
08-Jul-24,28,1,1.7,2.2,1,0.8,0.9
15-Jul-24,29,1.6,0.8,3.1,1,0.6,0.6
22-Jul-24,30,0.7,0.3,2.1,0.9,1,1.1
29-Jul-24,31,0.9,0,2.7,1.1,0.8,1.3
05-Aug-24,32,0.9,0.9,1,0.7,0.7,1.2
12-Aug-24,33,0.7,3.1,1.9,1.9,0.9,1.1
19-Aug-24,34,1.4,1.5,2,1.4,0.3,0.3
26-Aug-24,35,0.4,2.5,1.7,1,0.5,0.5
02-Sep-24,36,1.2,1.5,1.7,1.1,0.3,0.7
09-Sep-24,37,0.7,2.5,2.2,1.4,0.5,0.6
16-Sep-24,38,1.2,1.4,3.5,1,0.6,0.2
23-Sep-24,39,1.6,1.9,2.5,0.9,0.3,1.7
30-Sep-24,40,3,3.3,2.6,0.7,1.2,1.7
07-Oct-24,41,3.6,2.9,2.6,1.9,2.1,2.1
14-Oct-24,42,1.9,4,3.6,2,1.8,1.1
21-Oct-24,43,3.2,7.2,5.3,3,1.8,1.7
28-Oct-24,44,2.8,6.2,3.9,2.9,1.9,1.8
04-Nov-24,45,2.2,8.2,4.2,3.1,1.7,2
11-Nov-24,46,4.5,10.2,6.5,3.9,2.8,3
18-Nov-24,47,6.3,11,10.9,7.8,5.3,4.7
25-Nov-24,48,7.9,18.1,15.1,11.8,7.5,8.8
02-Dec-24,49,12.6,23,20,16.5,11.8,12.1
09-Dec-24,50,18.5,28.8,25.7,20.6,13.2,15.7
16-Dec-24,51,25,32.6,29.6,22.5,17.9,16.1
23-Dec-24,52,28.9,37.2,35.8,28.1,21.4,23.6
30-Dec-24,1,25.7,30.3,28.8,24.6,20.1,20.3
06-Jan-25,2,19.2,25.6,20.2,19.9,15.5,16.2
13-Jan-25,3,20,25.7,22.6,14.5,11.4,11.8
20-Jan-25,4,18.6,22.1,21.6,11.8,9.9,10.4
27-Jan-25,5,16.6,25.3,20.1,11.5,9.2,8.6
03-Feb-25,6,12.5,22.6,20.3,10.8,6.4,7.6
10-Feb-25,7,12.9,16.7,20.4,8.8,5.9,6.9
17-Feb-25,8,9.6,19.3,22.8,7.7,5.2,6.5
24-Feb-25,9,8.9,15.5,19.8,7,6,4.5
03-Mar-25,10,7.5,14,16.7,4.2,2.8,4.1
10-Mar-25,11,9.4,12.8,14.2,5.5,4.2,4.3
17-Mar-25,12,5.9,10.6,13.9,4.3,4.6,4.8
24-Mar-25,13,6,12.5,14.1,4.3,3.3,4.3
31-Mar-25,14,4,7,10.6,4.6,3.4,2.8
07-Apr-25,15,3.6,5.4,9.2,2.9,2.8,2.3
14-Apr-25,16,2.7,3.9,5.8,2.3,2.8,2.4
21-Apr-25,17,1.9,2.1,5.2,1.6,1.6,1.1
28-Apr-25,18,1.2,2.6,3.7,0.9,1.5,1.2
05-May-25,19,0.9,1.1,3.7,1.7,1.4,1.6
12-May-25,20,0.4,0.4,1.9,1.1,1.1,2.5
19-May-25,21,0.6,1.7,1.5,1.5,1.1,1.6
26-May-25,22,0.6,0.5,1.6,1,0.8,1.3
02-Jun-25,23,0.2,1.4,1.6,0.3,0.7,0.8
09-Jun-25,24,1,1.2,1.5,0.7,0.3,0.3
16-Jun-25,25,0.8,0,0.9,1,0.9,0.5
23-Jun-25,26,0.5,0.4,0.9,1.4,1.3,0.8
30-Jun-25,27,0.9,0.5,0.9,0.7,0.5,0
07-Jul-25,28,0.9,0,0.8,1.1,0.4,0
14-Jul-25,29,0.2,0,1.1,0.7,1.1,0.2
21-Jul-25,30,0.5,1.6,1.8,0.4,0.6,0.7
28-Jul-25,31,0.8,0.6,0.7,0.3,0.1,1
04-Aug-25,32,0.5,1.3,1.6,0.8,0.9,1.1
11-Aug-25,33,1.1,3.3,2.1,0.3,0.7,0.6
18-Aug-25,34,0.3,0.7,1.2,1.4,1.4,1.1
25-Aug-25,35,2.1,2.2,1.4,2.5,1.1,1.2
01-Sep-25,36,0.9,2.3,1.4,1.3,0.8,0.4
08-Sep-25,37,0.6,3.4,1.6,1.6,1.2,0.7
15-Sep-25,38,0.6,2.5,2.8,1.2,1.3,0.3
22-Sep-25,39,2.7,3.1,7.2,1.2,0.9,1.4
29-Sep-25,40,3.2,4.9,11,3.1,2.3,3.7
06-Oct-25,41,6.1,10.5,11.7,5.4,4.2,4.6
13-Oct-25,42,8.1,21.2,11,4.7,4.9,4.9
20-Oct-25,43,10.5,30.5,14.2,5,5.4,6
27-Oct-25,44,15.2,29.3,19.6,8.8,6.8,6.5
03-Nov-25,45,16.6,24.7,19.9,7.9,9.3,7.9
10-Nov-25,46,14.2,27.1,16.7,8.5,6.2,7.0
17-Nov-25,47,9.9,31.5,17.0,7.6,6.5,5.0
24-Nov-25,48,14.5,36.2,24.6,13.1,10.9,8.0
01-Dec-25,49,18.5,42.2,35.2,16.8,14.6,16.6
08-Dec-25,50,18.6,34.0,25.0,13.6,14.1,13.2